education_level,score
college,6.01
college,6.06
college,5.58
college,6.36
college,6.44
college,6.45
college,6.51
college,6.52
college,6.67
college,7.03
college,5.65
college,5.73
college,5.61
college,6.09
college,5.75
college,5.94
college,6.23
college,6.24
college,6.36
college,6.39
college,6.81
college,7.1
college,7.12
college,6.93
college,5.58
college,5.75
college,6.01
college,6.03
college,6.08
college,6.3
college,6.46
college,6.74
college,6.25
college,6.64
college,6.8
college,6.95
school,5.07
school,5.22
school,5.52
school,5.63
school,5.78
school,5.82
school,6.17
school,6.83
school,4.65
school,4.48
school,4.51
school,4.81
school,4.84
school,4.93
school,5.25
school,5.54
school,5.65
school,5.94
school,6.09
school,6.37
school,6.38
school,4.85
school,4.78
school,5.07
school,5.36
school,5.49
school,5.51
school,5.6
school,5.8
school,5.94
school,6.46
school,6.01
school,6.05
university,6.45
university,7.78
university,7.97
university,8.55
university,8.88
university,8.93
university,8.96
university,9.13
university,9.2
university,9.51
university,9.34
university,6.52
university,7.35
university,7.73
university,7.39
university,7.5
university,8.26
university,8.41
university,9.42
university,8.57
university,7.27
university,9.57
university,7.89
university,8.65
university,9.52
university,8.39
university,7.45
university,8.7
university,8.84
university,8.99
university,9.11
university,9.27
university,9.28
university,9.52
university,9.56
university,8.26
university,10
